ciudad,pais,latitud,longitud,temperatura,sensacion_termica,humedad,velocidad_viento,descripcion,fecha_extraccion,codigo_tiempo
Bogota,Colombia,4.600,-74.083,19,19,49,6,Partly cloudy,2026-02-25T15:29:38.450836,116
Medellin,Colombia,6.291,-75.536,25,28,61,4,Partly cloudy,2026-02-25T15:29:39.573365,116
Cali,Colombia,3.437,-76.523,29,31,55,4,Partly cloudy,2026-02-25T15:29:40.821592,116
Barranquilla,Colombia,10.964,-74.796,31,35,63,28,Sunny,2026-02-25T15:29:42.076745,113
Cartagena,Colombia,10.400,-75.514,31,38,63,22,Partly Cloudy ,2026-02-25T15:29:42.992413,116
